:1156798050,:275934311
:638621240,:638621291
:290469390,:290469388,:290469393
:928309514,:928309555
:1499404110,:635154668
:635948228,:1067547556
:755792666,:755792673
:278790591,:2376424269
:637563218,:637563195
:280802703,:280802702
:1293265527,:947964623
:637563180,:637563168
:635975648,:635975633
:26900695,:1163779008
:1103186485,:1147307966
:26900697,:635975643
:1067738644,:1067738685
:2135167095,:1156502466
:914437172,:2950777510
:956035564,:956035568
:966192286,:966192280
:1157815977,:1067693970
:637608381,:636977851
:290469376,:2131985263,:3935792740
:2135007058,:281436986
:2950777510,:914437172
:1236396077,:638651431
:288550625,:288550623
:942666332,:1129787299
:635975654,:635975652
:638621266,:638621324
:734348225,:946026688
:644976156,:644976162
:1137810108,:858017820
:959333666,:959333659,:959333662
:290492633,:290492626
:932711339,:932711038
:644976124,:644976152
:290469402,:1136225883
:288550876,:288550879
:1147307966,:1103186485
:290485428,:290485444
:948066452,:948066469
:999272310,:999272315
:634987504,:3126687563
:644976152,:644976124
:638516273,:2822099327
:1291088108,:959321332
:290483878,:295900015
:278296619,:289359373
:995100699,:1133585799
:280665923,:280665928
:635975651,:635975645
:2376424269,:278790591
:838384891,:2356973024
:278820501,:2252710477,:290485125
:639130997,:639130995
:313349473,:4251328348
:966192278,:288535845
:278204494,:1139701441
:913909545,:913909542
:290469344,:290469343,:1137743346
:2422333970,:280802727
:635975645,:635975651
:1578526052,:639051206
:858013250,:1143784856
:278819200,:948054048
:641969671,:641969669
:26900732,:1070328731,:2089568517
:281440452,:278791775
:1258699217,:1258699202
:1177670996,:1947109511
:956045132,:956045130
:948054048,:755792662
:1134345966,:995111962
:1937173535,:920593554
:644975948,:3069893107
:278309324,:1958170296
:280004597,:272079272,:272079284
:929259335,:1162067900
:639131031,:639130971
:634987501,:634987502
:639130991,:639131009
:948080005,:635154664,:948066462
:290489262,:290489263
:633534448,:633534445
:290469377,:290469380
:638627147,:4731283160
:1973908609,:959343161
:924092566,:924092623
:637553894,:637553887
:1560685064,:644976019
:2123548352,:280665921
:929259378,:942666330
:3126687563,:634987504
:290485444,:290485428
:288535845,:966192278
:914471177,:914467953
:295900015,:290483878
:278812263,:5174472624,:278812264
:835320942,:835320959
:1683326825,:1683326825
:933114069,:1137208134
:838384905,:4728449240
:290469395,:290469393
:948079998,:948080001
:3014286844,:290479756
:644976023,:644976038
:959333668,:959333660
:278790595,:278788201,:924115968
:959321332,:1291088108
:932700044,:913905880
:635154664,:1403127048,:948080005
:959333664,:959333658
:1142666845,:3014286851
:644975995,:644975993
:288550879,:288550876
:939083055,:278816618
:278798219,:1071201215,:4413491740
:1166172382,:929259353
:1876640142,:924115994
:313349383,:313349463
:635154666,:2085396277
:278206281,:1778254905
:1136225883,:290469402
:290485446,:2054272189
:638621295,:638621341
:2084353710,:1580093328
:635964720,:635964746
:644976050,:644976065
:1653290414,:838384984
:914469253,:914469239
:914470552,:26900667,:914471174
:290479756,:3014286844
:1154062971,:4242016438
:644976038,:644976023
:1134311237,:3007053101
:288535918,:1596312215
:635119658,:1132298464
:638516279,:638621329
:638621224,:638621291
:1071201165,:1071201225
:1138656410,:290485905
:295050539,:3767485932
:644975993,:644975995
:966192280,:966192286
:26900705,:2354988303
:913905880,:932700044
:644976053,:644976140
:1176604898,:638621324
:3770604775,:295050972
:637608242,:637608215
:924115994,:1876640142
:638665353,:638665338
:2066379256,:960366071
:993501793,:993500854
:633549336,:633549340
:924092589,:26900656
:280802727,:2422333970
:1006832087,:918407205
:956035568,:956035564
:2340141086,:639131025
:918436407,:635975638
:2355266886,:946026675
:983972887,:983973466
:290485127,:290485126
:638621223,:638621228,:1200505313
:1129787299,:942666332
:932691061,:932691930
:639130978,:639131025,:639130974
:4728449240,:838384905
:2480394920,:2981820258
:26901215,:1744063122,:312177148
:999270914,:3228474267
:995117078,:995117074
:1958170296,:278309324
:1139760450,:933117332
:635948213,:1202001169
:272079284,:272079272,:280004597
:635964712,:1212278845
:412215419,:1794194175
:637553887,:637553894
:928309556,:928309541
:638621399,:4693261396
:1156797935,:995111978
:636977851,:637608381
:4388702763,:638651428
:281436986,:2135007058
:26900762,:674109845
:275934311,:1470985182,:1156798050
:280802702,:280802703
:1132298464,:635119658
:290481644,:290481645
:641969669,:641969671
:288550613,:995100691
:644976162,:644976140,:644976156
:637553884,:637553885
:934571530,:946563394
:278791771,:278791775
:1568992832,:278818526
:639130994,:639131020
:638665338,:638665353
:636977774,:2570452885
:2086352700,:948066479
:313349463,:313349383
:4253471056,:280809115
:914469239,:914469253,:914469645
:634987500,:634987497
:920593619,:920593626
:275934283,:275934283,:2101042453
:3017747030,:288538657
:639130971,:639131031
:995111962,:1134345966
:281437443,:280076431
:858017820,:1137810108
:2023688950,:2066387590
:1163779008,:26900695
:929259353,:1166172382
:278812264,:278812263
:639131025,:639130978,:2340141086
:639131044,:639131042
:635975642,:635975653
:3014286851,:1142666845
:995117074,:995117078
:4251328348,:313349473
:280666082,:2538078029
:966192277,:1359920221
:290469400,:959347543
:1974969009,:278788201
:280665928,:280665923
:290485904,:1138656418
:946563394,:934571530
:275934272,:2592460322
:1744063122,:26901215
:2538078029,:280666082
:2570452885,:636977774
:290469355,:638651432
:959333659,:959333666
:281437151,:281437152
:993500854,:993501793
:280809115,:4253471056
:637553907,:637553902
:1258699202,:1258699217
:995111978,:1156797935
:3018853982,:995120373
:638621405,:638621413,:638621384
:959347543,:290469400
:1067738685,:1067738644
:638621228,:638621223
:1882778313,:638621227
:638665341,:638665351
:914471174,:914470552
:1156141284,:1156141256
:932691930,:932691061
:1138684153,:4213980928
:835351602,:835391458
:278818158,:278790591
:638621349,:638621346
:291931760,:291930914
:1746039121,:290491425
:26900642,:1403127043
:638621227,:1882778313
:633549340,:633549336
:638621291,:638621240,:638621299,:638621224
:2257226759,:313349424
:995120373,:3018853982
:644975998,:644976073
:633534445,:633534448
:959333662,:959333666
:638621293,:638621326
:3935792740,:290469376
:1222345039,:288446865
:635948216,:635976284
:1202001169,:635948213
:929259357,:1164156574
:1200505313,:638621223
:1578208901,:1430407542
:637553901,:637553912
:2131985263,:290469376
:638621326,:638621293
:1359920221,:966192277
:302051235,:1134215942
:638621329,:638516279
:4213980928,:1138684153
:959333660,:959333668
:838384984,:1653290414
:638621413,:638621405
:644975970,:644976057
:644975968,:1170847346
:1133585799,:995100699
:995117082,:2119470502
:638621341,:638621295
:280077979,:278791398
:5174472624,:278812263
:2556832886,:960382466
:639131042,:639131044
:289359373,:278296619
:1139701441,:278204494
:1156141256,:1156141284
:959343161,:1973908609
:290485130,:290483867,:1138656404
:281437152,:281437151
:290469381,:290469388
:674109845,:26900762
:4413491689,:280802711
:290489263,:290489262
:1632489986,:1632489632
:280802711,:280802712,:4413491689
:928309555,:928309514
:1270506265,:1814653386
:638665339,:638665340
:960157917,:2389506016
:295050972,:3770604775
:1798133157,:939083028
:635975653,:635975642
:638621346,:638621288,:638621349
:1137743346,:290469344
:734348258,:734348263
:983973466,:983972887
:288538729,:1124954073
:289359376,:289359373,:1071201246
:2126639725,:1539665424
:635975646,:635975643
:1007083932,:1001247977
:1138684148,:278791775
:636977871,:918435920
:924115968,:278790595
:272079272,:272079284,:280008433
:1001247983,:1001247977
:1134215942,:302051235
:26900656,:924092589
:634987502,:634987501
:2981820258,:2480394920
:835348606,:1191396675
:288550623,:288550625
:3069893107,:644975948
:914469645,:914469239
:1219277772,:635975636
:913909542,:913909545
:1071201246,:289359376
:1138656404,:290485130
:639131011,:639131002
:3228474267,:999270914
:1067693970,:1157815977
:280802714,:290469371,:280802712
:1001247977,:1001247983
:639130995,:639130974,:639130997
:995111976,:275940357
:995100691,:288550613
:638621299,:638621291
:2066387590,:2023688950
:635975643,:26900697,:635975646
:635975652,:635975654
:1191396675,:835348606
:637563195,:637563218
:999272315,:999272310
:1071201225,:1071201165
:2054272189,:290485446
:288446865,:1222345039
:637553902,:637553907
:956045130,:956045132
:959333658,:959333664
:278818148,:959343161
:2089568517,:26900732
:918407205,:1006832087
:634987503,:1499404130
:280665921,:2123548352
:635976284,:635948216
:290492626,:290492633
:290481645,:290481644
:280008433,:272079272
:638621384,:638621405
:290469360,:2048720680
:278791398,:280077979
:635964714,:1364895859
:281436993,:1578717454
:1138656418,:290485904
:290482640,:290482638
:288538657,:3017747030
:280076435,:280076434,:280076431
:290469388,:290469381,:290469390
:637608206,:992866276
:2119470502,:995117082
:291930914,:291931760
:1499404130,:634987503
:26900667,:914470552
:1124954073,:288538729
:1596312215,:288535918
:639130974,:639130995,:639130978
:914464314,:914471177
:275943642,:278806404
:946026688,:734348225
:1765281331,:858028119
:960382466,:2556832886
:290485126,:290485127
:928309541,:928309556
:637563168,:637563180
:278788201,:278790595,:1974969009
:635964774,:1842386066
:635154668,:1499404110
:638651432,:290469355
:1137208134,:933114069
:1778254905,:278206281
:920593761,:920593427
:290469343,:290469344
:1071201215,:278798219
:2822099327,:638516273
:1067547556,:635948228
:1177682470,:635964746
:639051206,:1578526052
:638665340,:638665339
:644976065,:644976050
:637608215,:637608242
:858028119,:1765281331
:290483867,:290485130,:290485430
:281436110,:290491425
:755792662,:948054048
:635964746,:635964720,:1177682470
:278806404,:275943642
:2085396277,:635154666
:635964716,:1175659189
:280802712,:280802711,:280802714
:644976057,:644975970
:290469380,:290469377
:1102256324,:1807377056,:1807377054
:290485430,:290483867
:275940357,:3677191326,:995111976
:1311550952,:288538727
:1143784856,:858013250
:948253524,:2413210789
:278790592,:280076431
:3638690055,:26900798
:313349424,:2257226759
:835391458,:835351602
:290485125,:278820501
:4242016438,:1154062971
:932711038,:932711339
:638621393,:638621416
:638621288,:638621346
:639131002,:639131011
:914467953,:948080005,:914471177
:920593475,:2098876019
:638621324,:1176604898,:638621266
:1814653386,:1270506265
:960366071,:2066379256
:635975638,:918436407
:948066479,:2086352700
:755792673,:755792666
:635975636,:1219277772
:835320959,:835320942
:918435920,:636977871
:1580093328,:2084353710
:638651431,:1236396077
:4693261396,:638621399
:920593554,:1937173535
:3677191326,:275940357
:635975633,:635975648
:637553912,:637553901
:280076434,:280076435
:1212270462,:635964750
:644976140,:644976053,:644976162
:4413491740,:278798219
:312177148,:26901215
:290485905,:1138656410
:1430407542,:1578208901
:948066462,:948080005
:26900797,:26900798
:638651428,:4388702763
:983969342,:983969341
:290469393,:290469395,:290469390
:278791775,:278791771,:1138684148,:281440452
:2356973024,:838384891
:948066469,:948066452
:639131009,:639130991
:644976019,:1560685064
:638665351,:638665341
:290482638,:290482640
:637553885,:637553884
:939083028,:1798133157
:1632489632,:1632489986
:2413210789,:948253524
:992866276,:637608206
:639131020,:639130994
:2048720680,:290469360
:26900798,:3638690055,:26900797
:3007053101,:1134311237
:26900672,:939211808
:4731283160,:638627147
:634987497,:634987500
:924092571,:1403127042
:278309327,:275934269
:280076431,:280076435,:281437443,:278790592
:290491425,:281436110,:1746039121
:983969341,:983969342
:1170847346,:644975968
:638621416,:638621393
:3767485932,:295050539
:734348263,:734348258
:1403127043,:26900642
:644976073,:644975998
